Tumor_Sample,Total Mutation Burden ,TYPE
MB-REC-11 -P,1.741741742,PRIMARY
MB-REC-11 -R,3.513513514,RECURRENT
MB-REC-14 -P,1.561561562,PRIMARY
MB-REC-14 -R,3.033033033,RECURRENT
MB-REC-09 -R,2.312312312,RECURRENT
MB-REC-32 -R,2.132132132,RECURRENT
MB-REC-42 -R,2.192192192,RECURRENT
MB-REC-45 -R,2.162162162,RECURRENT
MB-REC-10 -R,1.381381381,RECURRENT
MB-REC-02 -R,0.960960961,RECURRENT
MB-REC-41 -R,0.660660661,RECURRENT
MB-REC-03 -R,0.45045045,RECURRENT
MB-REC-07 -R,1.321321321,RECURRENT
MB-REC-08 -R,1.741741742,RECURRENT
MB-REC-04 -R,1.771771772,RECURRENT
MB-REC-13 -R,1.981981982,RECURRENT
MB-REC-12 -R,1.381381381,RECURRENT
MB-REC-15 -R,1.201201201,RECURRENT
MB-REC-30 -R,1.501501502,RECURRENT
MB-REC-24 -R,1.441441441,RECURRENT
MB-REC-01 -R,1.261261261,RECURRENT
MB-REC-28 -R,1.201201201,RECURRENT
MB-REC-39 -R,1.201201201,RECURRENT
MB-REC-23 -R,0.720720721,RECURRENT
MB-REC-18 -R,0.900900901,RECURRENT
MB-REC-47 -R,1.711711712,RECURRENT
MB-REC-27 -R,1.111111111,RECURRENT
MB-REC-34 -R,1.591591592,RECURRENT
MB-REC-40 -R,1.651651652,RECURRENT
MB-REC-33 -R,1.591591592,RECURRENT
MB-REC-31 -R,1.351351351,RECURRENT
MB-REC-46 -R,1.261261261,RECURRENT
MB-REC-22 -R,0.960960961,RECURRENT
MB-REC-35 -R,0.630630631,RECURRENT
MB-REC-19 -R,0.690690691,RECURRENT
MB-REC-43 -R,0.960960961,RECURRENT
MB-REC-21 -R,0.960960961,RECURRENT
MB-REC-29 -R,0.600600601,RECURRENT
MB-REC-04 -P,1.411411411,PRIMARY
MB-REC-05 -P,1.141141141,PRIMARY
MB-REC-15 -P,1.171171171,PRIMARY
MB-REC-09 -P,0.840840841,PRIMARY
MB-REC-02 -P,0.750750751,PRIMARY
MB-REC-12 -P,0.42042042,PRIMARY
MB-REC-03 -P,0.39039039,PRIMARY
MB-REC-08 -P,0.45045045,PRIMARY
MB-REC-13 -P,0.540540541,PRIMARY
MB-REC-08 -P,0.33033033,PRIMARY
MB-REC-10 -P,0.21021021,PRIMARY