Tumor_Sample,Deletion,Insertion,INDELS,SNPs,Total,Type
MB-REC-06,3807,3716,7523,104604,112127,Recurrent
MB-REC-09,399,515,914,5379,6293,Recurrent
MB-REC-10,403,320,723,3967,4690,Recurrent
MB-REC-02,179,106,285,3443,3728,Recurrent
MB-REC-41,91,99,190,1991,2181,Recurrent
MB-REC-03,139,90,229,1190,1419,Recurrent
MB-REC-16,1322,17776,19098,9833,28931,Recurrent
MB-REC-14,853,483,1336,9876,11212,Recurrent
MB-REC-11,1060,315,1375,8414,9789,Recurrent
MB-REC-07,724,1904,2628,4672,7300,Recurrent
MB-REC-08,566,2507,3073,3840,6913,Recurrent
MB-REC-04,608,372,980,5270,6250,Recurrent
MB-REC-13,174,162,336,5353,5689,Recurrent
MB-REC-12,511,173,684,4648,5332,Recurrent
MB-REC-15,265,168,433,4020,4453,Recurrent
 MB-REC-44 ,681,2241,2922,154848,157770,Recurrent
 MB-REC-26 ,6367,2441,8808,124676,133484,Recurrent
MB-REC-30,370,489,859,7402,8261,Recurrent
MB-REC-24,676,1586,2262,5947,8209,Recurrent
MB-REC-32,671,232,903,7198,8101,Recurrent
MB-REC-42,850,1567,2417,4901,7318,Recurrent
MB-REC-01,531,203,734,6383,7117,Recurrent
MB-REC-28,216,68,284,6666,6950,Recurrent
MB-REC-45,510,168,678,6080,6758,Recurrent
MB-REC-39,240,193,433,5817,6250,Recurrent
MB-REC-23,211,247,458,5210,5668,Recurrent
MB-REC-18,453,397,850,4232,5082,Recurrent
MB-REC-47,277,169,446,4186,4632,Recurrent
MB-REC-27,545,187,732,3430,4162,Recurrent
MB-REC-34,437,763,1200,2908,4108,Recurrent
MB-REC-40,153,75,228,3607,3835,Recurrent
MB-REC-33,283,205,488,3346,3834,Recurrent
MB-REC-31,557,161,718,2619,3337,Recurrent
MB-REC-46,301,158,459,2479,2938,Recurrent
MB-REC-22,145,105,250,2686,2936,Recurrent
MB-REC-35,172,109,281,2426,2707,Recurrent
MB-REC-19,150,237,387,2247,2634,Recurrent
MB-REC-43,138,132,270,2332,2602,Recurrent
MB-REC-21,178,88,266,2163,2429,Recurrent
MB-REC-29,144,116,260,1808,2086,Recurrent
MB-REC-06 ,3316,3358,6674,102133,108807,Primary
MB-REC-16 ,574,8514,9088,2474,11562,Primary
MB-REC-11,375,302,677,6509,7186,Primary
MB-REC-14,268,255,523,6257,6780,Primary
MB-REC-04,201,355,556,4532,5068,Primary
MB-REC-05,138,131,269,4565,4834,Primary
MB-REC-15,391,469,860,3649,4509,Primary
MB-REC-09,226,1030,1256,2267,3523,Primary
MB-REC-02,101,65,166,3008,3174,Primary
MB-REC-12,135,137,272,1829,2101,Primary
MB-REC-03,149,109,258,1813,2071,Primary
MB-REC-08,114,93,207,1718,1925,Primary
MB-REC-13,114,72,186,1677,1864,Primary
MB-REC-08,93,108,201,1368,1569,Primary
MB-REC-10,83,85,168,796,964,Primary